Building Name,Latitude,Longitude,Subnodes,Latitutde,Longitude
CTW,40.703959,-99.095886,No. 6,40.703747,-99.096263
CTE,40.703985,-99.094998,No. 8,40.703727,-99.094843
Union,40.702917,-99.095996,No. 14,40.703576,-99.095031
Armstrong Hall,40.703009,-99.094536,No. 15,40.703568,-99.094017
Martin Hall,40.702407,-99.094504,No. 17,40.703175,-99.094021
Nester North,40.701908,-99.094708,No. 16,40.703216,-99.095034
Nester South,40.701423,-99.094741,No. 19,40.702841,-99.095029
Antelope Hall,40.701887,-99.095653,No. 23,40.702858,-99.094225
Copeland Hall,40.701393,-99.096007,No. 20,40.702574,-99.095227
Mens Hall,40.702109,-99.097037,No. 80,40.702843,-99.09553
Student Affairs,40.701328,-99.096801,No. 39,40.702595,-99.09538
Calvin Library,40.700602,-99.096529,No. 30,40.702161,-99.095252
Bruner Hall,40.699967,-99.095878,No. 44,40.701766,-99.095252
Thomas Hall,40.699804,-99.096887,No. 49,40.701718,-99.094866
Fine Arts,40.700211,-99.097982,No. 45,40.701819,-99.094683
Mantor/Randall Hall,40.702114,-99.098104,No. 68,40.701543,-99.094689
Cope Stadium,40.703302,-99.097857,No. 58,40.701608,-99.094855
Health & Sports Center,40.700572,-99.099714,No. 50,40.701628,-99.095262
College of Education,40.700184,-99.102187,No. 67,40.701571,-99.095384
UNK Facilities,40.700978,-99.104978,No. 120,40.701063,-99.095405
General Services,40.701491,-99.105131,No. 29,40.702185,-99.095019
Discovery Hall,40.700734,-99.105743,No. 28,40.702124,-99.094933
West Center,40.700246,-99.106301,No. 27,40.702136,-99.094804
Ockinga Conference Center,40.701404,-99.106287,No. 31,40.702014,-99.094692
Communications Center,40.701355,-99.107382,No. 43,40.702132,-99.094536
Frank House,40.700802,-99.108659,No. 54,40.70172,-99.095492
Rural Health Building,40.701008,-99.109933,No. 52,40.70183,-99.095712
UNMC Nursing,40.699967,-99.110094,No. 53,40.701753,-99.095937
Village Flats,40.698015,-99.108817,No. 65,40.701802,-99.096178
,,,No. 78,40.702752,-99.09567
,,,No. 37,40.702435,-99.095393
,,,,,
,,,No. 141,40.701804,-99.096478
,,,No. 142,40.701577,-99.096483
,,,No. 66,40.701585,-99.096232
,,,No. 182,40.701827,-99.096957
,,,No. 181,40.701831,-99.097225
,,,No. 188,40.701836,-99.097965
,,,No. 194,40.701978,-99.097943
,,,No. 170,40.701436,-99.096217
,,,No. 166,40.701053,-99.096228
,,,No. 124,40.701053,-99.095863
,,,No. 123,40.701135,-99.095847
,,,No. 168,40.700603,-99.096242
,,,No. 169,40.700225,-99.096253
,,,No. 162,40.700172,-99.095824
,,,No. 125,40.701026,-99.095824
,,,No. 164,40.700597,-99.096018
,,,No. 163,40.700588,-99.095825
,,,No. 113,40.701041,-99.094981
,,,No. 108,40.701265,-99.094713
