Building Name,Latitude,Longitude
CTW,40.703959,-99.095886
CTE,40.703985,-99.094998
Union,40.702917,-99.095996
Armstrong Hall,40.703009,-99.094536
Martin Hall,40.702407,-99.094504
Nester North,40.701908,-99.094708
Nester South,40.701423,-99.094741
Antelope Hall,40.701887,-99.095653
Copeland Hall,40.701393,-99.096007
Mens Hall,40.702109,-99.097037
Student Affairs,40.701328,-99.096801
Calvin Library,40.700602,-99.096529
Bruner Hall,40.699967,-99.095878
Thomas Hall,40.699804,-99.096887
Fine Arts,40.700211,-99.097982
Mantor/Randall Hall,40.702114,-99.098104
Cope Stadium,40.703302,-99.097857
Health & Sports Center,40.700572,-99.099714
College of Education,40.700184,-99.102187
UNK Facilities,40.700978,-99.104978
General Services,40.701491,-99.105131
Discovery Hall,40.700734,-99.105743
West Center,40.700246,-99.106301
Ockinga Conference Center,40.701404,-99.106287
Communications Center,40.701355,-99.107382
Frank House,40.700802,-99.108659
Rural Health Building,40.701008,-99.109933
UNMC Nursing,40.699967,-99.110094
Village Flats,40.698015,-99.108817
